Time Taken,Nodes Visited,Best Moves Count,Cakes Count,Score
0.24358667497290298,217,18,20,0
0.22027034603524953,190,17,20,0
0.22813678899547085,174,16,20,0
0.23960892797913402,167,15,20,10
0.17700493900338188,146,14,20,40
0.15880325494799763,130,13,20,40
0.25137517403345555,123,12,20,60
0.09609925100812688,102,11,20,100
0.06993892998434603,84,10,20,100
0.05277154501527548,76,9,20,100
0.04090151301352307,55,8,20,120
0.031632350001018494,41,7,20,120
0.0246163799893111,35,6,20,120
0.018161943997256458,20,5,20,120
0.016834095993544906,12,4,20,120
0.011689628008753061,9,3,20,120
0.00718533800682053,3,2,20,120
0.0009395930101163685,1,1,20,130
9.29600209929049e-05,0,0,20,130
